path	ngenes_tscore	Dx_z	Dx_pval	Dx_pval_BHcorr	genes_path	tissue	class_pathway	type_path	drugBank_ann	drugBank_n	drugBank_id	drugBank_gene	drugBank_usedForSCZ
Negative regulation of FGFR4 signaling	3	3.22512284060777	0.00125918627103369	0.0252243443326426	KLB,MAPK3,UBA52	Brain_Frontal_Cortex_BA9	genes P < pathway P	Reactome	Pegademase-and-Sucralfate-and-Sorafenib-and-Sulindac-and-Pentosan polysulfate-and-Sirolimus-and-Amlexanox-and-Heparin-and-Arsenic trioxide-and-Sucrosofate-and-Formic acid-and-O2-Sulfo-Glucuronic Acid-and-Purvalanol-and-4-[(10s,14s,18s)-18-(2-Amino-2-Oxoethyl)-14-(1-Naphthylmethyl)-8,17,20-Trioxo-7,16,19-Triazaspiro[5.14]Icos-11-En-10-Yl]Benzylphosphonic Acid-and-1,4-Dideoxy-O2-Sulfo-Glucuronic Acid-and-N,O6-Disulfo-Glucosamine-and-1,4-Dideoxy-5-Dehydro-O2-Sulfo-Glucuronic Acid-and-Naphthalene Trisulfonate-and-5-iodotubercidin-and-XL281-and-ABT-510-and-RAF-265-and-Seliciclib-and-Pazopanib-and-PLX-4720-and-N-{2,4-difluoro-3-[(5-pyridin-3-yl-1H-pyrrolo[2,3-b]pyridin-3-yl)carbonyl]phenyl}ethanesulfonamide-and-5-aminonaphthalene-2-sulfonic acid-and-(1E)-5-(1-piperidin-4-yl-3-pyridin-4-yl-1H-pyrazol-4-yl)-2,3-dihydro-1H-inden-1-one oxime-and-Cholecystokinin-and-Vemurafenib-and-Regorafenib-and-Dabrafenib-and-Foreskin fibroblast (neonatal)-and-Foreskin keratinocyte (neonatal)-and-Encorafenib-and-Fostamatinib-and-Ulixertinib-and-Ripretinib	42	DB00061-and-DB00364-and-DB00398-and-DB00605-and-DB00686-and-DB00877-and-DB01025-and-DB01109-and-DB01169-and-DB01901-and-DB01942-and-DB02264-and-DB02733-and-DB03276-and-DB03935-and-DB03959-and-DB03981-and-DB04409-and-DB04604-and-DB05190-and-DB05434-and-DB05984-and-DB06195-and-DB06589-and-DB06999-and-DB07000-and-DB08238-and-DB08553-and-DB08862-and-DB08881-and-DB08896-and-DB08912-and-DB10770-and-DB10772-and-DB11718-and-DB12010-and-DB13930-and-DB14840	GRB2-and-FGF2-and-BRAF-and-MAPK3-and-FGF1-and-MKNK1	
PIP3 activates AKT signaling	9	3.05185485948759	0.00227432042596286	0.0384523271223649	IL1RL1,KLB,LAMTOR3,EGFR,PSMD13,PSME2,NRG4,MAPK3,UBA52	Brain_Frontal_Cortex_BA9	genes P < pathway P	Reactome	K-252a-and-SGX-523-and-1-(4-fluorophenyl)-N-[3-fluoro-4-(1H-pyrrolo[2,3-b]pyridin-4-yloxy)phenyl]-2-oxo-1,2-dihydropyridine-3-carboxamide-and-N-({4-[(2-aminopyridin-4-yl)oxy]-3-fluorophenyl}carbamoyl)-2-(4-fluorophenyl)acetamide-and-2-(4-fluorophenyl)-N-{[3-fluoro-4-(1H-pyrrolo[2,3-b]pyridin-4-yloxy)phenyl]carbamoyl}acetamide-and-N-(3-chlorophenyl)-N-methyl-2-oxo-3-[(3,4,5-trimethyl-1H-pyrrol-2-yl)methyl]-2H-indole-5-sulfonamide-and-3-[3-(4-methylpiperazin-1-yl)-7-(trifluoromethyl)quinoxalin-5-yl]phenol-and-AMG-208-and-1-[(2-NITROPHENYL)SULFONYL]-1H-PYRROLO[3,2-B]PYRIDINE-6-CARBOXAMIDE-and-Crizotinib-and-Cabozantinib-and-Carfilzomib-and-Tucatinib-and-Capmatinib-and-Fostamatinib-and-Tivantinib-and-Brigatinib-and-Phenethyl Isothiocyanate-and-Amuvatinib	19	DB02152-and-DB06314-and-DB06896-and-DB06995-and-DB06997-and-DB07369-and-DB07969-and-DB08079-and-DB08791-and-DB08865-and-DB08875-and-DB08889-and-DB11652-and-DB11791-and-DB12010-and-DB12200-and-DB12267-and-DB12695-and-DB12742	MET-and-PSMB10-and-ERBB3-and-PSMC3	
PIWI-interacting RNA (piRNA) biogenesis	2	3.27202963706006	0.00106778382216675	0.0228653018470879	MAEL,TDRD6	Brain_Frontal_Cortex_BA9	pathway P < genes P & genes FDR > 0.05	Reactome		0			
PTEN Regulation	5	4.72555267466115	2.29490335049514e-06	0.00024846682396964	LAMTOR3,PSMD13,PSME2,MAPK3,UBA52	Brain_Frontal_Cortex_BA9	genes P < pathway P	Reactome	Sulindac-and-Arsenic trioxide-and-Purvalanol-and-5-iodotubercidin-and-Seliciclib-and-Cholecystokinin-and-Ulixertinib	7	DB00605-and-DB01169-and-DB02733-and-DB04604-and-DB06195-and-DB08862-and-DB13930	MAPK3	
Phosphorylation of CD3 and TCR zeta chains	6	5.23321555977612	1.66586275088288e-07	5.17250384149134e-05	HLA-DRB5,HLA-DRB1,HLA-DQA1,HLA-DQB1,HLA-DQA2,TRAC	Brain_Frontal_Cortex_BA9	pathway P < genes P & genes FDR < 0.05	Reactome	Antithymocyte immunoglobulin (rabbit)-and-Dasatinib-and-Staurosporine-and-TG-100801-and-1D09C3-and-Glatiramer-and-Clenoliximab-and-Coccidioides immitis spherule-and-Fostamatinib-and-Ibalizumab	10	DB00098-and-DB01254-and-DB02010-and-DB05075-and-DB05121-and-DB05259-and-DB06241-and-DB11294-and-DB12010-and-DB12698	CD4-and-CSK-and-HLA-DRA-and-HLA-DRB1	
RNA Polymerase I Promoter Opening	3	3.56898304713743	0.000358369611600732	0.0117130278317924	H3F3A,HIST1H4A,MAPK3	Brain_Frontal_Cortex_BA9	genes P < pathway P	Reactome	Sulindac-and-Arsenic trioxide-and-Purvalanol-and-5-iodotubercidin-and-Seliciclib-and-Cholecystokinin-and-Ulixertinib	7	DB00605-and-DB01169-and-DB02733-and-DB04604-and-DB06195-and-DB08862-and-DB13930	MAPK3	
RNA Polymerase II Transcription	94	3.29331563027948	0.000990132550588244	0.021959725496975	NPPA,RPA2,ZFP69B,ZFP69,ZNF691,CDC7,TRIM33,ZNF697,SMYD2,H3F3A,ZNF124,YWHAQ,COX7A2L,LRPPRC,ZNF514,ERCC3,BARD1,ZNF589,NR1I2,RFC4,ZNF721,LAMTOR3,MED10,LIFR,SETD9,HIST1H4A,ZKSCAN4,ZKSCAN3,RXRB,TAF11,CGA,PMS2,EGFR,ZNF680,CDK6,CPSF4,ZNF786,KMT2C,TNFRSF10C,GSR,YWHAZ,ZNF696,SURF1,PRKCQ,ZNF33B,UBE2D1,CDK1,NRBF2,FAS,LDB1,PSMD13,GTF2H1,PRDX5,YEATS4,PRKAB1,ZNF605,CENPJ,PSME2,COX16,SNAPC5,RMI2,MAPK3,RBL2,ZFP1,WWOX,YWHAE,SCO1,NCOR1,MED24,ZNF266,ZNF443,UBA52,ZNF101,ZNF253,ZNF738,ZNF429,COX6B1,ZFP14,ZNF570,ZFP30,ZNF180,TEAD2,ZNF577,ZNF649,ZNF160,ZFP28,ZNF419,ZNF587,ZNF417,ZNF418,RPRD1B,YWHAB,NELFCD,BID	Brain_Frontal_Cortex_BA9	genes P < pathway P	Reactome	Cetuximab-and-Adenosine phosphate-and-Glutathione-and-NADH-and-Vitamin E-and-Adapalene-and-Oxiconazole-and-Phenytoin-and-Diethylstilbestrol-and-Clotrimazole-and-Carmustine-and-Lidocaine-and-Bexarotene-and-Pentobarbital-and-Gefitinib-and-Metformin-and-Rosiglitazone-and-Spironolactone-and-Lindane-and-Acitretin-and-Flutamide-and-Ritonavir-and-Alitretinoin-and-Erlotinib-and-Cyclophosphamide-and-Mephenytoin-and-Carbamazepine-and-Sulindac-and-Tamoxifen-and-Warfarin-and-Ethotoin-and-Tretinoin-and-Estradiol-and-Tazarotene-and-Mifepristone-and-Methylphenobarbital-and-Etretinate-and-Ethinylestradiol-and-Auranofin-and-Ketoconazole-and-Fenofibrate-and-Rifampicin-and-Clonazepam-and-Miconazole-and-Nifedipine-and-Econazole-and-Sulfinpyrazone-and-Arsenic trioxide-and-Phenobarbital-and-Ifosfamide-and-Rifaximin-and-Paclitaxel-and-Dexamethasone-and-Docetaxel-and-Lapatinib-and-Panitumumab-and-Bezafibrate-and-3,6-dihydroxy-xanthene-9-propionic acid-and-Genistein-and-Prasterone-and-Fusicoccin-and-Hyperforin-and-LG-100268-and-Staurosporine-and-Indirubin-3'-monoxime-and-Olomoucine-and-3-sulfino-L-alanine-and-Phosphonothreonine-and-Glutathionylspermidine disulfide-and-Cholic Acid-and-Resveratrol-and-Purvalanol-and-Phthalic Acid-and-Pregnenolone-and-3-(Prop-2-Ene-1-Sulfinyl)-Propene-1-Thiol-and-Adenosine 5'-[gamma-thio]triphosphate-and-Hymenialdisine-and-Flavin adenine dinucleotide-and-Glutathione disulfide-and-SU9516-and-Alvocidib-and-Diminazene-and-Doconexent-and-3-nitro-L-tyrosine-and-Alsterpaullone-and-Quercetin-and-N-Formylmethionine-and-SR12813-and-Afimoxifene-and-Dexfosfoserine-and-5-iodotubercidin-and-Phenolphthalein-and-Permethrin-and-IGN311-and-Matuzumab-and-Vandetanib-and-Rindopepimut-and-Canertinib-and-Pelitinib-and-Dovitinib-and-Varlitinib-and-AV-412-and-Seliciclib-and-Chenodeoxycholic acid-and-TO-901317-and-(2S)-2-({6-[(3-Amino-5-chlorophenyl)amino]-9-isopropyl-9H-purin-2-yl}amino)-3-methyl-1-butanol-and-2-(2-PHENYL-3-PYRIDIN-2-YL-4,5,6,7-TETRAHYDRO-2H-ISOPHOSPHINDOL-1-YL)PYRIDINE-and-S-{3-[(4-ANILINOQUINAZOLIN-6-YL)AMINO]-3-OXOPROPYL}-L-CYSTEINE-and-PD-168393-and-6-(3-METHYL-1,4-DIOXO-1,4-DIHYDRONAPHTHALEN-2-YL)HEXANOIC ACID-and-Fisetin-and-N-(TERT-BUTYL)-3,5-DIMETHYL-N'-[(5-METHYL-2,3-DIHYDRO-1,4-BENZODIOXIN-6-YL)CARBONYL]BENZOHYDRAZIDE-and-Hexestrol-and-AT-7519-and-(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID-and-Triclosan-and-Cholecystokinin-and-Rilpivirine-and-Afatinib-and-Cannabidiol-and-Palbociclib-and-Coenzyme M-and-Copper-and-Polaprezinc-and-Osimertinib-and-Necitumumab-and-Foreskin keratinocyte (neonatal)-and-Pyrethrum extract-and-Selenium-and-Thimerosal-and-Myrrh-and-Ribociclib-and-Depatuxizumab mafodotin-and-Icotinib-and-Neratinib-and-Dacomitinib-and-Abemaciclib-and-Fostamatinib-and-Zalutumumab-and-Brigatinib-and-Piperine-and-Phenethyl Isothiocyanate-and-Olmutinib-and-Troleandomycin-and-Fenofibric acid-and-Ulixertinib-and-Estradiol acetate-and-Estradiol benzoate-and-Estradiol cypionate-and-Estradiol dienanthate-and-Estradiol valerate-and-alpha-Tocopherol succinate-and-D-alpha-Tocopherol acetate-and-Medical Cannabis-and-Nabiximols-and-Dexamethasone acetate-and-Zanubrutinib	170	DB00002-and-DB00131-and-DB00143-and-DB00157-and-DB00163-and-DB00210-and-DB00239-and-DB00252-and-DB00255-and-DB00257-and-DB00262-and-DB00281-and-DB00307-and-DB00312-and-DB00317-and-DB00331-and-DB00412-and-DB00421-and-DB00431-and-DB00459-and-DB00499-and-DB00503-and-DB00523-and-DB00530-and-DB00531-and-DB00532-and-DB00564-and-DB00605-and-DB00675-and-DB00682-and-DB00754-and-DB00755-and-DB00783-and-DB00799-and-DB00834-and-DB00849-and-DB00926-and-DB00977-and-DB00995-and-DB01026-and-DB01039-and-DB01045-and-DB01068-and-DB01110-and-DB01115-and-DB01127-and-DB01138-and-DB01169-and-DB01174-and-DB01181-and-DB01220-and-DB01229-and-DB01234-and-DB01248-and-DB01259-and-DB01269-and-DB01393-and-DB01644-and-DB01645-and-DB01708-and-DB01780-and-DB01892-and-DB01941-and-DB02010-and-DB02052-and-DB02116-and-DB02153-and-DB02482-and-DB02553-and-DB02659-and-DB02709-and-DB02733-and-DB02746-and-DB02789-and-DB02895-and-DB02930-and-DB02950-and-DB03147-and-DB03310-and-DB03428-and-DB03496-and-DB03608-and-DB03756-and-DB03867-and-DB04014-and-DB04216-and-DB04464-and-DB04466-and-DB04468-and-DB04522-and-DB04604-and-DB04824-and-DB04930-and-DB04988-and-DB05101-and-DB05294-and-DB05374-and-DB05424-and-DB05524-and-DB05928-and-DB05944-and-DB06021-and-DB06195-and-DB06777-and-DB07080-and-DB07379-and-DB07393-and-DB07602-and-DB07662-and-DB07714-and-DB07795-and-DB07929-and-DB07931-and-DB08142-and-DB08175-and-DB08604-and-DB08862-and-DB08864-and-DB08916-and-DB09061-and-DB09073-and-DB09110-and-DB09130-and-DB09221-and-DB09330-and-DB09559-and-DB10772-and-DB11087-and-DB11135-and-DB11590-and-DB11605-and-DB11730-and-DB11731-and-DB11737-and-DB11828-and-DB11963-and-DB12001-and-DB12010-and-DB12202-and-DB12267-and-DB12582-and-DB12695-and-DB13164-and-DB13179-and-DB13873-and-DB13930-and-DB13952-and-DB13953-and-DB13954-and-DB13955-and-DB13956-and-DB14001-and-DB14002-and-DB14009-and-DB14011-and-DB14649-and-DB15035	EGFR-and-PRKAB1-and-GSR-and-NR1I2-and-RXRB-and-MAPK3-and-PRDX5-and-YWHAE-and-PRKCQ-and-CDK1-and-COX6B1-and-PMS2-and-CDK6-and-YWHAB-and-SCO1-and-YWHAQ-and-YWHAZ	Prasterone
Regulation of HSF1-mediated heat shock response	6	4.18026486065221	2.9116975690584e-05	0.00139089553106559	RPA2,NUP210,NUPL2,AAAS,MAPK3,YWHAE	Brain_Frontal_Cortex_BA9	genes P < pathway P	Reactome	Sulindac-and-Arsenic trioxide-and-Fusicoccin-and-Purvalanol-and-5-iodotubercidin-and-Seliciclib-and-Cholecystokinin-and-Phenethyl Isothiocyanate-and-Ulixertinib	9	DB00605-and-DB01169-and-DB01780-and-DB02733-and-DB04604-and-DB06195-and-DB08862-and-DB12695-and-DB13930	MAPK3-and-YWHAE	
Regulation of PTEN gene transcription	2	5.80614098420474	6.39291372242669e-09	3.96999942162697e-06	LAMTOR3,MAPK3	Brain_Frontal_Cortex_BA9	pathway P < genes P & genes FDR < 0.05	Reactome	Sulindac-and-Arsenic trioxide-and-Purvalanol-and-5-iodotubercidin-and-Seliciclib-and-Cholecystokinin-and-Ulixertinib	7	DB00605-and-DB01169-and-DB02733-and-DB04604-and-DB06195-and-DB08862-and-DB13930	MAPK3	
Regulation of actin dynamics for phagocytic cup formation	5	4.22927400733608	2.34446656977472e-05	0.00121326144985842	WIPF1,NCKIPSD,MAPK3,CRK,NF2	Brain_Frontal_Cortex_BA9	genes P < pathway P	Reactome	Endostatin-and-7-PYRIDIN-2-YL-N-(3,4,5-TRIMETHOXYPHENYL)-7H-PYRROLO[2,3-D]PYRIMIDIN-2-AMINE-and-2-({5-CHLORO-2-[(2-METHOXY-4-MORPHOLIN-4-YLPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-N-METHYLBENZAMIDE-and-N-[2-(2-methyl-1H-indol-3-yl)ethyl]thiophene-2-carboxamide-and-(2S)-2-(3-bromophenyl)-3-(5-chloro-2-hydroxyphenyl)-1,3-thiazolidin-4-one-and-Fostamatinib	6	DB06423-and-DB07248-and-DB07460-and-DB08235-and-DB08236-and-DB12010	PTK2-and-ARPC3	
Signaling by FGFR1	3	3.41793274106291	0.000630986977375748	0.0170287304840219	FLRT1,MAPK3,UBA52	Brain_Frontal_Cortex_BA9	genes P < pathway P	Reactome	Palifermin-and-Pegademase-and-Sucralfate-and-Sorafenib-and-Sulindac-and-Pentosan polysulfate-and-Sirolimus-and-Amlexanox-and-Heparin-and-Arsenic trioxide-and-Sucrosofate-and-Formic acid-and-3-[4-(1-formylpiperazin-4-yl)-benzylidenyl]-2-indolinone-and-O2-Sulfo-Glucuronic Acid-and-Purvalanol-and-4-[(10s,14s,18s)-18-(2-Amino-2-Oxoethyl)-14-(1-Naphthylmethyl)-8,17,20-Trioxo-7,16,19-Triazaspiro[5.14]Icos-11-En-10-Yl]Benzylphosphonic Acid-and-1,4-Dideoxy-O2-Sulfo-Glucuronic Acid-and-N,O6-Disulfo-Glucosamine-and-1,4-Dideoxy-5-Dehydro-O2-Sulfo-Glucuronic Acid-and-Naphthalene Trisulfonate-and-5-iodotubercidin-and-XL999-and-XL281-and-ABT-510-and-RAF-265-and-Seliciclib-and-Pazopanib-and-PLX-4720-and-N-{2,4-difluoro-3-[(5-pyridin-3-yl-1H-pyrrolo[2,3-b]pyridin-3-yl)carbonyl]phenyl}ethanesulfonamide-and-3-(3-methoxybenzyl)-1H-pyrrolo[2,3-b]pyridine-and-[(3,7,11-TRIMETHYL-DODECA-2,6,10-TRIENYLOXYCARBAMOYL)-METHYL]-PHOSPHONIC ACID-and-Farnesyl diphosphate-and-(E)-[4-(3,5-Difluorophenyl)-3H-pyrrolo[2,3-b]pyridin-3-ylidene](3-methoxyphenyl)methanol-and-5-aminonaphthalene-2-sulfonic acid-and-(1E)-5-(1-piperidin-4-yl-3-pyridin-4-yl-1H-pyrazol-4-yl)-2,3-dihydro-1H-inden-1-one oxime-and-3-[(3-(2-CARBOXYETHYL)-4-METHYLPYRROL-2-YL)METHYLENE]-2-INDOLINONE-and-Cholecystokinin-and-Vemurafenib-and-Regorafenib-and-Ponatinib-and-Dabrafenib-and-Lenvatinib-and-Nintedanib-and-Foreskin fibroblast (neonatal)-and-Foreskin keratinocyte (neonatal)-and-Encorafenib-and-Fostamatinib-and-Erdafitinib-and-Ulixertinib-and-Ripretinib-and-Pemigatinib-and-MRTX849-and-AMG-510-and-Selpercatinib	62	DB00039-and-DB00061-and-DB00364-and-DB00398-and-DB00605-and-DB00686-and-DB00877-and-DB01025-and-DB01109-and-DB01169-and-DB01901-and-DB01942-and-DB02058-and-DB02264-and-DB02733-and-DB03276-and-DB03935-and-DB03959-and-DB03981-and-DB04409-and-DB04604-and-DB05014-and-DB05190-and-DB05434-and-DB05984-and-DB06195-and-DB06589-and-DB06999-and-DB07000-and-DB07525-and-DB07771-and-DB07780-and-DB07840-and-DB08238-and-DB08553-and-DB08577-and-DB08862-and-DB08881-and-DB08896-and-DB08901-and-DB08912-and-DB09078-and-DB09079-and-DB10770-and-DB10772-and-DB11718-and-DB12010-and-DB12147-and-DB13930-and-DB14840-and-DB15102-and-DB15568-and-DB15569-and-DB15685	FGFR1-and-GRB2-and-FGF2-and-BRAF-and-MAPK3-and-FGF1-and-KRAS-and-MKNK1	
Signaling by Insulin receptor	4	3.16788730090921	0.00153551031814141	0.0288955123504792	ATP6V1E2,KLB,ATP6V0E2,MAPK3	Brain_Frontal_Cortex_BA9	genes P < pathway P	Reactome	Sulindac-and-Arsenic trioxide-and-Purvalanol-and-5-iodotubercidin-and-Seliciclib-and-Cholecystokinin-and-Ulixertinib	7	DB00605-and-DB01169-and-DB02733-and-DB04604-and-DB06195-and-DB08862-and-DB13930	MAPK3	
Signaling by NTRK1 (TRKA)	4	3.95561478882515	7.63380825359604e-05	0.00296287182842696	MAPK3,CRK,YWHAB,ADORA2A	Brain_Frontal_Cortex_BA9	genes P < pathway P	Reactome	Caffeine-and-Theophylline-and-Mefloquine-and-Lamotrigine-and-Sulindac-and-Adenosine-and-Dyphylline-and-Pentoxifylline-and-Enprofylline-and-Arsenic trioxide-and-Oxtriphylline-and-Theobromine-and-Purvalanol-and-5-iodotubercidin-and-Binodenoson-and-Defibrotide-and-Apadenoson-and-Atl146e-and-Seliciclib-and-Regadenoson-and-4-{2-[(7-amino-2-furan-2-yl[1,2,4]triazolo[1,5-a][1,3,5]triazin-5-yl)amino]ethyl}phenol-and-Cholecystokinin-and-Copper-and-Doxofylline-and-Istradefylline-and-Phenethyl Isothiocyanate-and-Ulixertinib-and-8-chlorotheophylline	28	DB00201-and-DB00277-and-DB00358-and-DB00555-and-DB00605-and-DB00640-and-DB00651-and-DB00806-and-DB00824-and-DB01169-and-DB01303-and-DB01412-and-DB02733-and-DB04604-and-DB04853-and-DB04932-and-DB05009-and-DB05191-and-DB06195-and-DB06213-and-DB08770-and-DB08862-and-DB09130-and-DB09273-and-DB11757-and-DB12695-and-DB13930-and-DB14132	ADORA2A-and-MAPK3-and-YWHAB	
Signaling by Nuclear Receptors	8	3.41502128034059	0.000637770286369377	0.0170287304840219	H3F3A,HIST1H4A,RXRB,ALDH8A1,SDR16C5,CYP26C1,DHRS4,MAPK3	Brain_Frontal_Cortex_BA9	genes P < pathway P	Reactome	Vitamin A-and-Adapalene-and-Bexarotene-and-Rosiglitazone-and-Acitretin-and-Alitretinoin-and-Sulindac-and-Tretinoin-and-Tazarotene-and-Etretinate-and-Arsenic trioxide-and-Bezafibrate-and-LG-100268-and-Purvalanol-and-Phthalic Acid-and-Doconexent-and-5-iodotubercidin-and-Seliciclib-and-TO-901317-and-N-(TERT-BUTYL)-3,5-DIMETHYL-N'-[(5-METHYL-2,3-DIHYDRO-1,4-BENZODIOXIN-6-YL)CARBONYL]BENZOHYDRAZIDE-and-(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID-and-Cholecystokinin-and-Ulixertinib	25	DB00162-and-DB00210-and-DB00307-and-DB00412-and-DB00459-and-DB00523-and-DB00605-and-DB00755-and-DB00799-and-DB00926-and-DB01169-and-DB01393-and-DB01941-and-DB02733-and-DB02746-and-DB03756-and-DB04604-and-DB06195-and-DB07080-and-DB07929-and-DB08175-and-DB08862-and-DB13930	DHRS4-and-RXRB-and-CYP26C1-and-MAPK3	
Spry regulation of FGF signaling	2	3.57249622109778	0.000353594587158042	0.0117130278317924	MAPK3,UBA52	Brain_Frontal_Cortex_BA9	genes P < pathway P	Reactome	Sulindac-and-Arsenic trioxide-and-Purvalanol-and-5-iodotubercidin-and-Seliciclib-and-Cholecystokinin-and-Ulixertinib	7	DB00605-and-DB01169-and-DB02733-and-DB04604-and-DB06195-and-DB08862-and-DB13930	MAPK3	
Synthesis of PIPs at the early endosome membrane	2	-3.04965544011696	0.00229104042435991	0.0384523271223649	PI4K2A,PIK3C2A	Brain_Frontal_Cortex_BA9	genes P < pathway P	Reactome		0			
Thrombin signalling through proteinase activated receptors (PARs)	2	4.02136611481372	5.78615919815986e-05	0.00256657490146948	MAPK3,GNA15	Brain_Frontal_Cortex_BA9	genes P < pathway P	Reactome	Sulindac-and-Arsenic trioxide-and-Purvalanol-and-5-iodotubercidin-and-Seliciclib-and-Cholecystokinin-and-Ulixertinib	7	DB00605-and-DB01169-and-DB02733-and-DB04604-and-DB06195-and-DB08862-and-DB13930	MAPK3	
Translocation of ZAP-70 to Immunological synapse	7	4.48353342407586	7.34170967401203e-06	0.00050657796750683	ZAP70,HLA-DRB5,HLA-DRB1,HLA-DQA1,HLA-DQB1,HLA-DQA2,TRAC	Brain_Frontal_Cortex_BA9	genes P < pathway P	Reactome	Antithymocyte immunoglobulin (rabbit)-and-1D09C3-and-Glatiramer-and-Clenoliximab-and-Coccidioides immitis spherule-and-Ibalizumab	6	DB00098-and-DB05121-and-DB05259-and-DB06241-and-DB11294-and-DB12698	CD4-and-HLA-DRA-and-HLA-DRB1	
eNOS activation	2	4.5022526913578	6.72369720999509e-06	0.00050657796750683	DDAH2,LYPLA1	Brain_Frontal_Cortex_BA9	genes P < pathway P	Reactome	Citrulline	1	DB00155	DDAH2	
mTOR signalling	4	4.4422672974035	8.90158810394148e-06	0.000552788621254766	LAMTOR3,EIF4EBP1,PRKAB1,YWHAB	Brain_Frontal_Cortex_BA9	pathway P < genes P & genes FDR < 0.05	Reactome	Adenosine phosphate-and-Metformin-and-Copper-and-Phenethyl Isothiocyanate	4	DB00131-and-DB00331-and-DB09130-and-DB12695	PRKAB1-and-YWHAB	
mTORC1-mediated signalling	3	4.32971704272609	1.49301056383752e-05	0.00084287232740282	LAMTOR3,EIF4EBP1,YWHAB	Brain_Frontal_Cortex_BA9	pathway P < genes P & genes FDR < 0.05	Reactome	Copper-and-Phenethyl Isothiocyanate	2	DB09130-and-DB12695	YWHAB	
tRNA modification in the nucleus and cytosol	7	-3.25078486410988	0.00115086908989251	0.023822990160775	TRIT1,TYW3,NSUN2,TYW1,NSUN6,OSGEP,ADAT1	Brain_Frontal_Cortex_BA9	pathway P < genes P & genes FDR < 0.05	Reactome		0			
ATF4 activates genes	2	3.28783953598584	0.00100959365674048	0.0311916487136104	EXOSC6,ATF4	Brain_Hippocampus	genes P < pathway P	Reactome		0			
Cargo concentration in the ER	2	-3.20208997490021	0.0013643437636771	0.0356245316071244	MCFD2,FOLR1	Brain_Hippocampus	pathway P < genes P & genes FDR > 0.05	Reactome	Antihemophilic factor, human recombinant-and-Folic acid-and-Methotrexate-and-Vintafolide-and-Farletuzumab-and-Lonoctocog alfa-and-Moroctocog alfa	7	DB00025-and-DB00158-and-DB00563-and-DB05168-and-DB05595-and-DB13998-and-DB13999	MCFD2-and-FOLR1	
Complement cascade	4	5.16216306429569	2.44112497392126e-07	5.73664368871496e-05	CD55,CD46,COLEC11,C4A	Brain_Hippocampus	genes P < pathway P	Reactome	Human immunoglobulin G	1	DB00028	C4A	
Costimulation by the CD28 family	7	3.27360658472208	0.00106184336046333	0.0311916487136104	CTLA4,HLA-DRB5,HLA-DRB1,HLA-DQA1,HLA-DQB1,PPP2R1B,PPP2R1A	Brain_Hippocampus	genes P < pathway P	Reactome	Insulin pork-and-Glatiramer	3	DB00071-and-DB05259	HLA-DQA2-and-HLA-DQB1-and-HLA-DRB1	
DAP12 interactions	2	-3.0752521163918	0.00210324680718002	0.0395410399749844	HLA-C,KLRC2	Brain_Hippocampus	genes P < pathway P	Reactome	Pegademase-and-Abacavir-and-4-[(10s,14s,18s)-18-(2-Amino-2-Oxoethyl)-14-(1-Naphthylmethyl)-8,17,20-Trioxo-7,16,19-Triazaspiro[5.14]Icos-11-En-10-Yl]Benzylphosphonic Acid-and-N-Formylmethionine-and-[(3,7,11-TRIMETHYL-DODECA-2,6,10-TRIENYLOXYCARBAMOYL)-METHYL]-PHOSPHONIC ACID-and-Farnesyl diphosphate-and-Coccidioides immitis spherule-and-MRTX849-and-AMG-510	9	DB00061-and-DB01048-and-DB03276-and-DB04464-and-DB07771-and-DB07780-and-DB11294-and-DB15568-and-DB15569	GRB2-and-HLA-B-and-KRAS	
Diseases associated with O-glycosylation of proteins	4	3.91081301987483	9.19859635795342e-05	0.00540417536029763	NOTCH4,SSPO,ADAMTS14,ADAMTS18	Brain_Hippocampus	genes P < pathway P	Reactome	Batimastat-and-(2R)-N~4~-hydroxy-2-(3-hydroxybenzyl)-N~1~-[(1S,2R)-2-hydroxy-2,3-dihydro-1H-inden-1-yl]butanediamide-and-N-hydroxy-4-({4-[4-(trifluoromethyl)phenoxy]phenyl}sulfonyl)tetrahydro-2H-pyran-4-carboxamide-and-Vonicog Alfa-and-Von Willebrand Factor Human	5	DB03880-and-DB06837-and-DB06945-and-DB12872-and-DB13133	ADAMTS5-and-ADAMTS13	
Diseases of glycosylation	5	3.08204654958666	0.00205582685817326	0.0395410399749844	NOTCH4,SSPO,ADAMTS14,GPC5,ADAMTS18	Brain_Hippocampus	genes P < pathway P	Reactome		0			
Downstream TCR signaling	6	4.23539211022058	2.28153229075622e-05	0.00214464035331084	HLA-DRB5,HLA-DRB1,HLA-DQA1,HLA-DQB1,PSMD13,PSMD3	Brain_Hippocampus	pathway P < genes P & genes FDR < 0.05	Reactome	Insulin pork-and-Glatiramer-and-Carfilzomib-and-Phenethyl Isothiocyanate	5	DB00071-and-DB05259-and-DB08889-and-DB12695	HLA-DQA2-and-HLA-DQB1-and-HLA-DRB1-and-PSMB10-and-PSMC3	
