path	ngenes_tscore	CAD_HARD_z_t	CAD_HARD_pval	CAD_HARD_BHcorr	genes_path	tissue	replicated	class_pathway	type_path	drugBank_ann	drugBank_n	drugBank_id	drugBank_gene	drugBank_usedForCAD
G1/S Transition	9	-3.7621231718062	0.000168477035433966	0.0119955649228984	CDC25A,DHFR,CCNE2,PSMD13,PSMD9,LIN52,PSMA4,RBL2,MCM8	Heart_Atrial_Appendage	FALSE	pathway P < genes P & genes FDR > 0.05	Reactome	NADH-and-Folic acid-and-Pyrimethamine-and-Lamotrigine-and-Methotrexate-and-Pemetrexed-and-Gentamicin-and-Proguanil-and-Trimetrexate-and-2,4-Diamino-5-Methyl-6-[(3,4,5-Trimethoxy-N-Methylanilino)Methyl]Pyrido[2,3-D]Pyrimidine-and-2,4-Diamino-6-[N-(2',5'-Dimethoxybenzyl)-N-Methylamino]Quinazoline-and-6-(Octahydro-1h-Indol-1-Ylmethyl)Decahydroquinazoline-2,4-Diamine-and-N6-(2,5-Dimethoxy-Benzyl)-N6-Methyl-Pyrido[2,3-D]Pyrimidine-2,4,6-Triamine-and-2,4-Diamino-6-[N-(3',4',5'-Trimethoxybenzyl)-N-Methylamino]Pyrido[2,3-D]Pyrimidine-and-Sri-9662-and-2,4-Diamino-5-(3,4,5-Trimethoxy-Benzyl)-Pyrimidin-1-Ium-and-Sri-9439-and-Nicotinamide adenine dinucleotide phosphate-and-Piritrexim-and-Biopterin-and-Urea-and-2,4-Diamino-6-[N-(3',5'-Dimethoxybenzyl)-N-Methylamino]Pyrido[2,3-D]Pyrimidine-and-Iclaprim-and-Pralatrexate-and-5-[(3R)-3-(5-methoxybiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine-and-5-[(3R)-3-(5-methoxy-4'-methylbiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine-and-5-[(3R)-3-(5-methoxy-3',5'-dimethylbiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine-and-5-[(3R)-3-(5-methoxy-2',6'-dimethylbiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine-and-5-[3-(2,5-dimethoxyphenyl)prop-1-yn-1-yl]-6-ethylpyrimidine-2,4-diamine-and-[N-(2,4-DIAMINOPTERIDIN-6-YL)-METHYL]-DIBENZ[B,F]AZEPINE-and-(4aS)-5-[(2,4-diaminopteridin-6-yl)methyl]-4a,5-dihydro-2H-dibenzo[b,f]azepin-8-ol-and-(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE-and-(2R,6S)-6-{[methyl(3,4,5-trimethoxyphenyl)amino]methyl}-1,2,5,6,7,8-hexahydroquinazoline-2,4-diamine-and-Aminopterin	36	DB00157-and-DB00158-and-DB00205-and-DB00555-and-DB00563-and-DB00642-and-DB00798-and-DB01131-and-DB01157-and-DB02104-and-DB02427-and-DB02559-and-DB02583-and-DB02919-and-DB03060-and-DB03125-and-DB03351-and-DB03461-and-DB03695-and-DB03886-and-DB03904-and-DB03987-and-DB06358-and-DB06813-and-DB07140-and-DB07141-and-DB07142-and-DB07144-and-DB08234-and-DB08406-and-DB08448-and-DB08515-and-DB08642-and-DB08878	DHFR-and-PSMA4	
Hedgehog 'off' state	5	-3.5123499320088	0.000444162762329116	0.022588849055595	ADCY5,PSMD13,PSMD9,PSMA4,PRKAR1A	Heart_Atrial_Appendage	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome	(Rp)-cAMPS-and-Cyclic GMP-and-Cyclic adenosine monophosphate-and-Colforsin-and-GEM-231-and-2',5'-DIDEOXY-ADENOSINE 3'-MONOPHOSPHATE-and-(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE-and-Aurothioglucose	8	DB01790-and-DB02315-and-DB02527-and-DB02587-and-DB05798-and-DB06843-and-DB08515-and-DB09121	PRKAR1A-and-ADCY5-and-PSMA4	
Hedgehog ligand biogenesis	5	-3.17913229692462	0.00147716653969005	0.0389711348157163	PSMD13,SCUBE2,PSMD9,DISP2,PSMA4	Heart_Atrial_Appendage	FALSE	pathway P < genes P & genes FDR > 0.05	Reactome	(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE	1	DB08515	PSMA4	
Host Interactions of HIV factors	12	-3.29892487773814	0.000970558806876206	0.0314108122952663	NUP133,AP1S3,HLA-A,NUPL2,AP1S1,NUP188,PSMD13,NUP107,PSMD9,PSMA4,NUP85,APOBEC3G	Heart_Atrial_Appendage	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome	3-Indolebutyric Acid-and-Nelipepimut-S-and-(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE-and-Coccidioides immitis spherule	4	DB02740-and-DB06226-and-DB08515-and-DB11294	HLA-A-and-PSMA4	
Mitotic G1-G1/S phases	11	-3.31982220470311	0.000900747943340351	0.0314108122952663	CDC25A,DHFR,LYN,CCNE2,PSMD13,PSMD9,LIN52,PSMA4,RBL2,MCM8,MYBL2	Heart_Atrial_Appendage	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome	NADH-and-Folic acid-and-Pyrimethamine-and-Lamotrigine-and-Methotrexate-and-Pemetrexed-and-Gentamicin-and-Proguanil-and-Trimetrexate-and-Arsenic trioxide-and-Zinc-and-2,4-Diamino-5-Methyl-6-[(3,4,5-Trimethoxy-N-Methylanilino)Methyl]Pyrido[2,3-D]Pyrimidine-and-2,4-Diamino-6-[N-(2',5'-Dimethoxybenzyl)-N-Methylamino]Quinazoline-and-Vorinostat-and-6-(Octahydro-1h-Indol-1-Ylmethyl)Decahydroquinazoline-2,4-Diamine-and-N6-(2,5-Dimethoxy-Benzyl)-N6-Methyl-Pyrido[2,3-D]Pyrimidine-2,4,6-Triamine-and-2,4-Diamino-6-[N-(3',4',5'-Trimethoxybenzyl)-N-Methylamino]Pyrido[2,3-D]Pyrimidine-and-Sri-9662-and-2,4-Diamino-5-(3,4,5-Trimethoxy-Benzyl)-Pyrimidin-1-Ium-and-Sri-9439-and-Nicotinamide adenine dinucleotide phosphate-and-Piritrexim-and-Biopterin-and-Urea-and-2,4-Diamino-6-[N-(3',5'-Dimethoxybenzyl)-N-Methylamino]Pyrido[2,3-D]Pyrimidine-and-Belinostat-and-Pracinostat-and-Romidepsin-and-Iclaprim-and-Panobinostat-and-Pralatrexate-and-5-[(3R)-3-(5-methoxybiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine-and-5-[(3R)-3-(5-methoxy-4'-methylbiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine-and-5-[(3R)-3-(5-methoxy-3',5'-dimethylbiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine-and-5-[(3R)-3-(5-methoxy-2',6'-dimethylbiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine-and-5-[3-(2,5-dimethoxyphenyl)prop-1-yn-1-yl]-6-ethylpyrimidine-2,4-diamine-and-[N-(2,4-DIAMINOPTERIDIN-6-YL)-METHYL]-DIBENZ[B,F]AZEPINE-and-(4aS)-5-[(2,4-diaminopteridin-6-yl)methyl]-4a,5-dihydro-2H-dibenzo[b,f]azepin-8-ol-and-(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE-and-(2R,6S)-6-{[methyl(3,4,5-trimethoxyphenyl)amino]methyl}-1,2,5,6,7,8-hexahydroquinazoline-2,4-diamine-and-Fingolimod-and-Aminopterin-and-Mocetinostat-and-Abexinostat-and-Zinc acetate-and-Zinc chloride-and-Zinc sulfate, unspecified form	50	DB00157-and-DB00158-and-DB00205-and-DB00555-and-DB00563-and-DB00642-and-DB00798-and-DB01131-and-DB01157-and-DB01169-and-DB01593-and-DB02104-and-DB02427-and-DB02546-and-DB02559-and-DB02583-and-DB02919-and-DB03060-and-DB03125-and-DB03351-and-DB03461-and-DB03695-and-DB03886-and-DB03904-and-DB03987-and-DB05015-and-DB05223-and-DB06176-and-DB06358-and-DB06603-and-DB06813-and-DB07140-and-DB07141-and-DB07142-and-DB07144-and-DB08234-and-DB08406-and-DB08448-and-DB08515-and-DB08642-and-DB08868-and-DB08878-and-DB11830-and-DB12565-and-DB14487-and-DB14533-and-DB14548	DHFR-and-HDAC1-and-PSMB6-and-PSMB7	
RUNX1 regulates transcription of genes involved in differentiation of HSCs	4	-3.26198641788991	0.00110634444230681	0.0342485757792369	H3F3A,PSMD13,PSMD9,PSMA4	Heart_Atrial_Appendage	FALSE	pathway P < genes P & genes FDR > 0.05	Reactome	(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE	1	DB08515	PSMA4	
SCF(Skp2)-mediated degradation of p27/p21	4	-3.89725152640449	9.72905588446385e-05	0.0115451463162304	CCNE2,PSMD13,PSMD9,PSMA4	Heart_Atrial_Appendage	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome	(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE	1	DB08515	PSMA4	
Ubiquitin Mediated Degradation of Phosphorylated Cdc25A	4	-3.8252867927083	0.000130619937127572	0.0119803726514706	CDC25A,PSMD13,PSMD9,PSMA4	Heart_Atrial_Appendage	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome	(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE	1	DB08515	PSMA4	
G protein-coupled receptor internalization	3	4.04858734013242	5.15277051657523e-05	0.0136112415030149	HTR2B,GRK4,DRD2	Adipose_Subcutaneous	TRUE	pathway P < genes P & genes FDR > 0.05	GO	Amphetamine-and-Ziprasidone-and-Methysergide-and-Cabergoline-and-Ropinirole-and-Zolmitriptan-and-Dihydroergotamine-and-Olanzapine-and-Methylergometrine-and-Clozapine-and-Thiethylperazine-and-Sulpiride-and-Loxapine-and-Remoxipride-and-Pramipexole-and-Promazine-and-Prochlorperazine-and-Droperidol-and-Imipramine-and-Chlorpromazine-and-Buspirone-and-Haloperidol-and-Triflupromazine-and-Nortriptyline-and-Amoxapine-and-Lamotrigine-and-Cinnarizine-and-Fenfluramine-and-Lisuride-and-Fluphenazine-and-Thioridazine-and-Ergotamine-and-Apomorphine-and-Paroxetine-and-Trimipramine-and-Risperidone-and-Propiomazine-and-Minaprine-and-Trifluoperazine-and-Perphenazine-and-Flupentixol-and-Amantadine-and-Cyclobenzaprine-and-Mesoridazine-and-Maprotiline-and-Dopamine-and-Carphenazine-and-Memantine-and-Acetophenazine-and-Promethazine-and-Tegaserod-and-Pimozide-and-Doxepin-and-Desipramine-and-Escitalopram-and-Domperidone-and-Pergolide-and-Bromocriptine-and-Ketamine-and-Quetiapine-and-Metoclopramide-and-Levodopa-and-Aripiprazole-and-Chlorprothixene-and-Clomipramine-and-Paliperidone-and-Yohimbine-and-Methotrimeprazine-and-Alizapride-and-Midomafetamine-and-Rolicyclidine-and-Acepromazine-and-Molindone-and-Pipotiazine-and-Thioproperazine-and-Thiothixene-and-Zuclopenthixol-and-Aniracetam-and-Lysergic acid diethylamide-and-Fluspirilene-and-Tetrabenazine-and-Brasofensine-and-Bifeprunox-and-Bicifadine-and-Itopride-and-Iloperidone-and-Rotigotine-and-Pimavanserin-and-OPC-28326-and-Epicept NP-1-and-PRX-08066-and-BL-1020-and-ACP-104-and-Amitifadine-and-Cariprazine-and-Lumateperone-and-YKP-1358-and-Sertindole-and-Mianserin-and-Pizotifen-and-Asenapine-and-Ocaperidone-and-Amisulpride-and-Sarizotan-and-Sumanirole-and-Lurasidone-and-Perospirone-and-Bromopride-and-Quinagolide-and-Brexpiprazole-and-Etoperidone-and-AS-8112-and-Blonanserin-and-Melperone-and-Zotepine-and-Pipamperone-and-Dihydro-alpha-ergocryptine-and-Pardoprunox-and-Tetrahydropalmatine-and-Piribedil-and-Raclopride-and-JNJ-37822681-and-Tiapride-and-Aripiprazole lauroxil	141	DB00182-and-DB00246-and-DB00247-and-DB00248-and-DB00268-and-DB00315-and-DB00320-and-DB00334-and-DB00353-and-DB00363-and-DB00372-and-DB00391-and-DB00408-and-DB00409-and-DB00413-and-DB00420-and-DB00433-and-DB00450-and-DB00458-and-DB00477-and-DB00490-and-DB00502-and-DB00508-and-DB00540-and-DB00543-and-DB00555-and-DB00568-and-DB00574-and-DB00589-and-DB00623-and-DB00679-and-DB00696-and-DB00714-and-DB00715-and-DB00726-and-DB00734-and-DB00777-and-DB00805-and-DB00831-and-DB00850-and-DB00875-and-DB00915-and-DB00924-and-DB00933-and-DB00934-and-DB00988-and-DB01038-and-DB01043-and-DB01063-and-DB01069-and-DB01079-and-DB01100-and-DB01142-and-DB01151-and-DB01175-and-DB01184-and-DB01186-and-DB01200-and-DB01221-and-DB01224-and-DB01233-and-DB01235-and-DB01238-and-DB01239-and-DB01242-and-DB01267-and-DB01392-and-DB01403-and-DB01425-and-DB01454-and-DB01549-and-DB01614-and-DB01618-and-DB01621-and-DB01622-and-DB01623-and-DB01624-and-DB04599-and-DB04829-and-DB04842-and-DB04844-and-DB04857-and-DB04888-and-DB04889-and-DB04924-and-DB04946-and-DB05271-and-DB05316-and-DB05461-and-DB05492-and-DB05607-and-DB05687-and-DB05766-and-DB05964-and-DB06016-and-DB06077-and-DB06109-and-DB06144-and-DB06148-and-DB06153-and-DB06216-and-DB06229-and-DB06288-and-DB06454-and-DB06477-and-DB08815-and-DB08922-and-DB09018-and-DB09097-and-DB09128-and-DB09194-and-DB09207-and-DB09223-and-DB09224-and-DB09225-and-DB09286-and-DB11274-and-DB12061-and-DB12093-and-DB12478-and-DB12518-and-DB12579-and-DB13025-and-DB14185	DRD2-and-HTR2B	
single-stranded RNA binding	7	-3.64711183931795	0.000265204511010241	0.0350726546718841	DDX60,SNRPC,IFIT5,DHX58,CBX8,LONP1,CBX6	Adipose_Subcutaneous	TRUE	pathway P < genes P & genes FDR > 0.05	GO		0			
positive regulation of vascular endothelial growth factor production	6	-3.84214746331229	0.000121962520360076	0.0261762059322814	ARNT,C5,NODAL,C3AR1,ADORA2B,SULF2	Adipose_Subcutaneous	TRUE	pathway P < genes P & genes FDR > 0.05	GO	Human immunoglobulin G-and-Caffeine-and-Theophylline-and-Adenosine-and-Enprofylline-and-Eculizumab-and-Zinc-and-Defibrotide-and-CVT-6883-and-Copper-and-Ravulizumab-and-Zinc acetate-and-Zinc chloride-and-Zinc sulfate, unspecified form	14	DB00028-and-DB00201-and-DB00277-and-DB00640-and-DB00824-and-DB01257-and-DB01593-and-DB04932-and-DB05936-and-DB09130-and-DB11580-and-DB14487-and-DB14533-and-DB14548	C5-and-ADORA2B	
peptidyl-tyrosine phosphorylation	7	4.29704357021502	1.73091182793662e-05	0.00660439024126039	FGFR3,CLK4,RET,FLT3,CSK,YES1,IL12RB1	Adipose_Subcutaneous	FALSE	pathway P < genes P & genes FDR > 0.05	GO	Palifermin-and-Sorafenib-and-Imatinib-and-Dasatinib-and-Sunitinib-and-1-Ter-Butyl-3-P-Tolyl-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine-and-Staurosporine-and-XL999-and-TG-100801-and-Vandetanib-and-Tandutinib-and-ABT-869-and-Lestaurtinib-and-Pazopanib-and-Midostaurin-and-Cabozantinib-and-Regorafenib-and-Ponatinib-and-Lenvatinib-and-Nintedanib-and-Fostamatinib-and-Gilteritinib-and-Erdafitinib-and-Brigatinib-and-Fedratinib-and-Amuvatinib-and-Quizartinib-and-Pexidartinib-and-Pemigatinib-and-Selpercatinib	46	DB00039-and-DB00398-and-DB00619-and-DB01254-and-DB01268-and-DB01809-and-DB02010-and-DB05014-and-DB05075-and-DB05294-and-DB05465-and-DB06080-and-DB06469-and-DB06589-and-DB06595-and-DB08875-and-DB08896-and-DB08901-and-DB09078-and-DB09079-and-DB12010-and-DB12141-and-DB12147-and-DB12267-and-DB12500-and-DB12742-and-DB12874-and-DB12978-and-DB15102-and-DB15685	FGFR3-and-FLT3-and-RET-and-YES1-and-CSK-and-CLK4	
protein phosphatase binding	14	3.64964716372488	0.000262600762009169	0.0350726546718841	CTNNB1,ANAPC4,ITGA1,MAP3K5,VCP,STX17,PPME1,HSP90B1,CSK,PSTPIP1,IQGAP1,CDC27,GRB2,BCL2	Adipose_Subcutaneous	TRUE	pathway P < genes P & genes FDR > 0.05	GO	Pegademase-and-Rifabutin-and-Ibuprofen-and-Paclitaxel-and-Docetaxel-and-Dasatinib-and-Rasagiline-and-Staurosporine-and-2-Chlorodideoxyadenosine-and-Geldanamycin-and-Diglyme-and-4-[(10s,14s,18s)-18-(2-Amino-2-Oxoethyl)-14-(1-Naphthylmethyl)-8,17,20-Trioxo-7,16,19-Triazaspiro[5.14]Icos-11-En-10-Yl]Benzylphosphonic Acid-and-N-Ethyl-5'-Carboxamido Adenosine-and-Radicicol-and-Urea-and-Phosphoaminophosphonic Acid-Adenylate Ester-and-TG-100801-and-Paclitaxel docosahexaenoic acid-and-Apoptone-and-Glycine betaine-and-METHYL 3-CHLORO-2-{3-[(2,5-DIHYDROXY-4-METHOXYPHENYL)AMINO]-3-OXOPROPYL}-4,6-DIHYDROXYBENZOATE-and-2-(3-AMINO-2,5,6-TRIMETHOXYPHENYL)ETHYL 5-CHLORO-2,4-DIHYDROXYBENZOATE-and-Eribulin-and-Copper-and-Dexibuprofen-and-Isosorbide-and-Venetoclax-and-Artenimol-and-Fostamatinib-and-Obatoclax-and-Navitoclax-and-Phenethyl Isothiocyanate	32	DB00061-and-DB00615-and-DB01050-and-DB01229-and-DB01248-and-DB01254-and-DB01367-and-DB02010-and-DB02103-and-DB02424-and-DB02935-and-DB03276-and-DB03719-and-DB03758-and-DB03904-and-DB04395-and-DB05075-and-DB05297-and-DB06307-and-DB06756-and-DB08464-and-DB08465-and-DB08871-and-DB09130-and-DB09213-and-DB09401-and-DB11581-and-DB11638-and-DB12010-and-DB12191-and-DB12340-and-DB12695	GRB2-and-HSP90B1-and-BCL2-and-CSK-and-CTNNB1-and-VCP-and-IQGAP1	Ibuprofen-and-Isosorbide
ubiquitin protein ligase binding	29	-3.81020194008463	0.000138853326093497	0.0280483718708865	MFN2,MUL1,PINK1,CXCR4,CASP8,GSK3B,POU5F1,RNF8,SNX9,ASB4,TRAF1,FZD8,CACUL1,TOLLIP,SLC22A18,PRR5L,ATXN3,PIAS1,RNF40,MC1R,STX8,TRIM37,PIAS2,SMAD2,BCL2,ZNF675,CD40,BID,TRIOBP	Adipose_Subcutaneous	TRUE	pathway P < genes P & genes FDR > 0.05	GO	Norepinephrine-and-Framycetin-and-Dopamine-and-Ibuprofen-and-Paclitaxel-and-Docetaxel-and-Lithium cation-and-Rasagiline-and-3-[3-(2,3-Dihydroxy-Propylamino)-Phenyl]-4-(5-Fluoro-1-Methyl-1h-Indol-3-Yl)-Pyrrole-2,5-Dione-and-SB-409513-and-AR-AO-14418-and-Staurosporine-and-Indirubin-3'-monoxime-and-6-bromoindirubin-3'-oxime-and-Alsterpaullone-and-Phosphoaminophosphonic Acid-Adenylate Ester-and-Dexfosfoserine-and-Afamelanotide-and-Paclitaxel docosahexaenoic acid-and-CZEN 002-and-AMD-070-and-Apoptone-and-Lucatumumab-and-Glycine betaine-and-Plerixafor-and-2-(1,3-benzodioxol-5-yl)-5-[(3-fluoro-4-methoxybenzyl)sulfanyl]-1,3,4-oxadiazole-and-5-[1-(4-methoxyphenyl)-1H-benzimidazol-6-yl]-1,3,4-oxadiazole-2(3H)-thione-and-(7S)-2-(2-aminopyrimidin-4-yl)-7-(2-fluoroethyl)-1,5,6,7-tetrahydro-4H-pyrrolo[3,2-c]pyridin-4-one-and-N-[2-(5-methyl-4H-1,2,4-triazol-3-yl)phenyl]-7H-pyrrolo[2,3-d]pyrimidin-4-amine-and-5-(5-chloro-7H-pyrrolo[2,3-d]pyrimidin-4-yl)-4,5,6,7-tetrahydro-1H-imidazo[4,5-c]pyridine-and-3-({[(3S)-3,4-dihydroxybutyl]oxy}amino)-1H,2'H-2,3'-biindol-2'-one-and-N-[(1S)-2-amino-1-phenylethyl]-5-(1H-pyrrolo[2,3-b]pyridin-4-yl)thiophene-2-carboxamide-and-4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE-and-ISOQUINOLINE-5-SULFONIC ACID (2-(2-(4-CHLOROBENZYLOXY)ETHYLAMINO)ETHYL)AMIDE-and-(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE-and-Eribulin-and-Dexibuprofen-and-Isosorbide-and-Venetoclax-and-Bremelanotide-and-Bryostatin 1-and-Fostamatinib-and-Tideglusib-and-Obatoclax-and-Navitoclax-and-Dacetuzumab-and-Bardoxolone-and-Ibalizumab-and-Lithium citrate-and-Lithium succinate-and-Lithium carbonate	51	DB00368-and-DB00452-and-DB00988-and-DB01050-and-DB01229-and-DB01248-and-DB01356-and-DB01367-and-DB01772-and-DB01793-and-DB01950-and-DB02010-and-DB02052-and-DB03444-and-DB04014-and-DB04395-and-DB04522-and-DB04931-and-DB05297-and-DB05479-and-DB05501-and-DB06307-and-DB06360-and-DB06756-and-DB06809-and-DB07014-and-DB07058-and-DB07149-and-DB07584-and-DB07585-and-DB07676-and-DB07812-and-DB07859-and-DB07947-and-DB08073-and-DB08871-and-DB09213-and-DB09401-and-DB11581-and-DB11653-and-DB11752-and-DB12010-and-DB12129-and-DB12191-and-DB12340-and-DB12589-and-DB12651-and-DB12698-and-DB14507-and-DB14508-and-DB14509	POU5F1-and-CXCR4-and-BCL2-and-GSK3B-and-SMAD2-and-MC1R-and-CD40-and-CASP8	Ibuprofen-and-Isosorbide
response to retinoic acid	12	-3.62724045313662	0.000286466496852114	0.0351330696496486	TIE1,NCOA1,CD38,MICB,IGF2R,MEST,AQP3,PTGES,CTSH,SERPINF1,RARA,CDKN2D	Adipose_Subcutaneous	TRUE	pathway P < genes P & genes FDR > 0.05	GO	Adapalene-and-Acitretin-and-Alitretinoin-and-Tretinoin-and-Tazarotene-and-Etretinate-and-Isotretinoin-and-Mecasermin-and-Genistein-and-N1-(1-Dimethylcarbamoyl-2-Phenyl-Ethyl)-2-Oxo-N4-(2-Pyridin-2-Yl-Ethyl)-Succinamide-and-alpha-D-mannose 6-phosphate-and-p-Toluenesulfonic acid-and-N-[1-Hydroxycarboxyethyl-Carbonyl]Leucylamino-2-Methyl-Butane-and-Corticosterone-and-Tamibarotene-and-LGD-1550-and-Prinaberel-and-ERB-196-and-(2S)-3-(1-{[2-(2-CHLOROPHENYL)-5-METHYL-1,3-OXAZOL-4-YL]METHYL}-1H-INDOL-5-YL)-2-ETHOXYPROPANOIC ACID-and-[5-HYDROXY-2-(4-HYDROXYPHENYL)-1-BENZOFURAN-7-YL]ACETONITRILE-and-2-(5-HYDROXY-NAPHTHALEN-1-YL)-1,3-BENZOOXAZOL-6-OL-and-TO-901317-and-1-CHLORO-6-(4-HYDROXYPHENYL)-2-NAPHTHOL-and-4-(4-HYDROXYPHENYL)-1-NAPHTHALDEHYDE OXIME-and-5-HYDROXY-2-(4-HYDROXYPHENYL)-1-BENZOFURAN-7-CARBONITRILE-and-GW-590735-and-3-BROMO-6-HYDROXY-2-(4-HYDROXYPHENYL)-1H-INDEN-1-ONE-and-3-(6-HYDROXY-NAPHTHALEN-2-YL)-BENZO[D]ISOOXAZOL-6-OL-and-(1R,3R)-5-[(2E)-3-{(1S,3R)-2,2,3-trimethyl-3-[6,6,6-trifluoro-5-hydroxy-5-(trifluoromethyl)hex-3-yn-1-yl]cyclopentyl}prop-2-en-1-ylidene]cyclohexane-1,3-diol-and-3,20-Pregnanedione-and-Indeglitazar-and-(8alpha,10alpha,13alpha,17beta)-17-[(4-hydroxyphenyl)carbonyl]androsta-3,5-diene-3-carboxylic acid-and-Myristic acid-and-CARBOBENZYLOXY-(L)-LEUCINYL-(L)LEUCINYL METHOXYMETHYLKETONE-and-1,3-CYCLOHEXANEDIOL, 4-METHYLENE-5-[(2E)-[(1S,3AS,7AS)-OCTAHYDRO-1-(5-HYDROXY-5-METHYL-1,3-HEXADIYNYL)-7A-METHYL-4H-INDEN-4-YLIDENE]ETHYLIDENE]-, (1R,3S,5Z)-and-Aleglitazar-and-Copper-and-Daratumumab-and-Sennosides-and-Fostamatinib-and-Trifarotene-and-Cerliponase alfa-and-Mecasermin rinfabate-and-Isatuximab	44	DB00210-and-DB00459-and-DB00523-and-DB00755-and-DB00799-and-DB00926-and-DB00982-and-DB01277-and-DB01645-and-DB02140-and-DB02900-and-DB03120-and-DB04126-and-DB04652-and-DB04942-and-DB05785-and-DB06832-and-DB06875-and-DB06908-and-DB06927-and-DB07009-and-DB07080-and-DB07119-and-DB07150-and-DB07198-and-DB07215-and-DB07230-and-DB07236-and-DB07530-and-DB07557-and-DB07724-and-DB08220-and-DB08231-and-DB08526-and-DB08742-and-DB08915-and-DB09130-and-DB09331-and-DB11365-and-DB12010-and-DB12808-and-DB13173-and-DB14751-and-DB14811	RARA-and-IGF2R-and-NCOA1-and-CTSH-and-SERPINF1-and-CD38-and-AQP3-and-TIE1	
spindle assembly	7	-3.58305889190219	0.00033959400621832	0.0388721939117904	CEP63,HAUS6,HAUS4,STARD9,CEP192,HAUS1,HAUS8	Adipose_Subcutaneous	TRUE	pathway P < genes P & genes FDR > 0.05	GO		0			
bone development	9	-4.08434171836873	4.42019435594925e-05	0.0126491228486081	SMAD1,SPARC,NPR2,PAPSS2,SMAD9,PRPSAP2,HSD17B1,SLC38A10,SULF2	Adipose_Subcutaneous	TRUE	pathway P < genes P & genes FDR > 0.05	GO	NADH-and-Androstenedione-and-Androstanedione-and-Erythrityl tetranitrate-and-Prasterone-and-Equilin-and-EM-1745-and-Stanolone-and-Nicotinamide adenine dinucleotide phosphate-and-Nesiritide-and-Calcium citrate-and-Calcium Phosphate-and-Stanolone acetate-and-Calcium phosphate dihydrate	14	DB00157-and-DB01536-and-DB01561-and-DB01613-and-DB01708-and-DB02187-and-DB02323-and-DB02901-and-DB03461-and-DB04899-and-DB11093-and-DB11348-and-DB13951-and-DB14481	HSD17B1-and-NPR2-and-SPARC	
ciliary receptor clustering involved in smoothened signaling pathway	2	-3.64796138790571	0.000264329350107997	0.0350726546718841	NME7,WDR19	Adipose_Subcutaneous	TRUE	pathway P < genes P & genes FDR > 0.05	GO		0			
positive regulation of release of cytochrome c from mitochondria	5	-3.66071021311053	0.000251517101394106	0.0350726546718841	PINK1,MFF,FAM162A,BAK1,BID	Adipose_Subcutaneous	FALSE	pathway P < genes P & genes FDR > 0.05	GO		0			
