feat	comp	pval	estimates	CI_low	CI_up	pval_corr	pval_corr_overall	tissue	new_id	genes_in_MHClocus	database	new_id_v2	sign	gr
Signaling by FGFR1	gr1_vs_all	0.0359	0.0260154938492495	0.00168175867800522	0.0506064850852608	0.379811594202899	0.3275875	Brain_Cerebellar_Hemisphere	Signaling by FGFR1 (BCeH)	FALSE	Reactome	Signaling by FGFR1 (BCeH)	no	gr1
FCERI mediated Ca+2 mobilization	gr2_vs_all	0.568	0.00766616986101961	-0.0186613969822489	0.0339508496710083	0.903141025641026	0.900042223786066	Brain_Cerebellar_Hemisphere	FCERI mediated Ca+2 mobilization (BCeH)	FALSE	Reactome	FCERI mediated Ca+2 mobilization (BCeH)	no	gr2
Plasma lipoprotein assembly, remodeling, and clearance	gr2_vs_all	0.00434	0.0395516808609892	0.0123706423465381	0.0667630709225493	0.0671897959183674	0.062121568627451	Brain_Cerebellar_Hemisphere	Plasma lipoprotein assembly, remodeling, and clearance (BCeH)	FALSE	Reactome	Plasma lipoprotein assembly, remodeling, and clearance (BCeH)	no	gr2
Signaling by EGFR	gr2_vs_all	0.0134	0.0347143762823706	0.00720614610373546	0.0622249091753917	0.168655172413793	0.157774193548387	Brain_Cerebellar_Hemisphere	Signaling by EGFR (BCeH)	FALSE	Reactome	Signaling by EGFR (BCeH)	no	gr2
Signaling by FGFR1	gr2_vs_all	0.407	0.0102412414059364	-0.0139886392057496	0.0345927849303605	0.846720867208672	0.839972273567468	Brain_Cerebellar_Hemisphere	Signaling by FGFR1 (BCeH)	FALSE	Reactome	Signaling by FGFR1 (BCeH)	no	gr2
FCERI mediated Ca+2 mobilization	gr3_vs_all	0.00337	0.0480667905165885	0.0159483685465696	0.0802228671403217	0.0372742424242424	0.0502061224489796	Brain_Cerebellar_Hemisphere	FCERI mediated Ca+2 mobilization (BCeH)	FALSE	Reactome	FCERI mediated Ca+2 mobilization (BCeH)	yes	gr3
Plasma lipoprotein assembly, remodeling, and clearance	gr3_vs_all	0.00165	-0.053294095650827	-0.0865327677353718	-0.0200824603554335	0.0207672413793103	0.027375	Brain_Cerebellar_Hemisphere	Plasma lipoprotein assembly, remodeling, and clearance (BCeH)	FALSE	Reactome	Plasma lipoprotein assembly, remodeling, and clearance (BCeH)	yes	gr3
Signaling by EGFR	gr3_vs_all	0.00286	-0.0513157957715534	-0.084969713908248	-0.0175698761770174	0.03285	0.0439520833333333	Brain_Cerebellar_Hemisphere	Signaling by EGFR (BCeH)	FALSE	Reactome	Signaling by EGFR (BCeH)	yes	gr3
Signaling by FGFR1	gr3_vs_all	0.000365	-0.0538987258492755	-0.0840045822197038	-0.0240917483179096	0.005329	0.00677415254237288	Brain_Cerebellar_Hemisphere	Signaling by FGFR1 (BCeH)	FALSE	Reactome	Signaling by FGFR1 (BCeH)	yes	gr3
Translocation of GLUT4 to the plasma membrane	gr1_vs_all	0.00292	-0.0416328663347335	-0.0690546442576962	-0.0142258365100666	0.045625	0.0445121951219512	Brain_Cortex	Translocation of GLUT4 to the plasma membrane (BC)	FALSE	Reactome	Translocation of GLUT4 to the plasma membrane (BC)	yes	gr1
p38MAPK events	gr1_vs_all	0.851	-0.00220113748338064	-0.0258084445265431	0.0212074253297836	0.98678107606679	0.983133086876155	Brain_Cortex	p38MAPK events (BC)	FALSE	Reactome	p38MAPK events (BC)	no	gr1
Translocation of GLUT4 to the plasma membrane	gr2_vs_all	0.0108	0.0357181410565154	0.00825292949371361	0.0630967012049799	0.153409090909091	0.143617021276596	Brain_Cortex	Translocation of GLUT4 to the plasma membrane (BC)	FALSE	Reactome	Translocation of GLUT4 to the plasma membrane (BC)	no	gr2
p38MAPK events	gr2_vs_all	0.0233	-0.0271328665985186	-0.0512442318962367	-0.00361546334997939	0.269675925925926	0.256985294117647	Brain_Cortex	p38MAPK events (BC)	FALSE	Reactome	p38MAPK events (BC)	no	gr2
Translocation of GLUT4 to the plasma membrane	gr3_vs_all	0.604	0.00882170998995683	-0.0246987553081615	0.0422960298712926	0.922256097560976	0.955586816720257	Brain_Cortex	Translocation of GLUT4 to the plasma membrane (BC)	FALSE	Reactome	Translocation of GLUT4 to the plasma membrane (BC)	no	gr3
p38MAPK events	gr3_vs_all	0.00276	0.0439421880865146	0.0149346976632578	0.0739396094860316	0.0367021276595745	0.0424180327868852	Brain_Cortex	p38MAPK events (BC)	FALSE	Reactome	p38MAPK events (BC)	yes	gr3
GABA receptor activation	gr1_vs_all	0.000547	-0.0474005841571163	-0.0743082409523958	-0.0205055934361051	0.00408079365079365	0.00403806282722513	Brain_Hippocampus	GABA receptor activation (BHi)	FALSE	Reactome	GABA receptor activation (BHi)	yes	gr1
Mitochondrial Fatty Acid Beta-Oxidation	gr1_vs_all	0.139	-0.0201376197076022	-0.0467796520857942	0.00655328584463993	0.479929577464789	0.438456375838926	Brain_Hippocampus	Mitochondrial Fatty Acid Beta-Oxidation (BHi)	FALSE	Reactome	Mitochondrial Fatty Acid Beta-Oxidation (BHi)	no	gr1
GABA receptor activation	gr2_vs_all	0.0449	0.0275688738185443	0.000598638819023231	0.0545256912005697	0.195398148148148	0.198902821316614	Brain_Hippocampus	GABA receptor activation (BHi)	FALSE	Reactome	GABA receptor activation (BHi)	no	gr2
Mitochondrial Fatty Acid Beta-Oxidation	gr2_vs_all	0.296	-0.0141473814465803	-0.0406485052985148	0.0124119348884781	0.654953703703704	0.66247619047619	Brain_Hippocampus	Mitochondrial Fatty Acid Beta-Oxidation (BHi)	FALSE	Reactome	Mitochondrial Fatty Acid Beta-Oxidation (BHi)	no	gr2
GABA receptor activation	gr3_vs_all	0.0776	0.0296201004504966	-0.00328393587149984	0.0625950396517258	0.296520325203252	0.302254143646409	Brain_Hippocampus	GABA receptor activation (BHi)	FALSE	Reactome	GABA receptor activation (BHi)	no	gr3
Mitochondrial Fatty Acid Beta-Oxidation	gr3_vs_all	0.00211	0.0503114272165525	0.0182897995221414	0.082398129785927	0.0165283333333333	0.0140334905660377	Brain_Hippocampus	Mitochondrial Fatty Acid Beta-Oxidation (BHi)	FALSE	Reactome	Mitochondrial Fatty Acid Beta-Oxidation (BHi)	yes	gr3
Glutathione conjugation	gr1_vs_all	0.0194	0.0321922253765924	0.00521999832900082	0.0591622384039565	0.207986046511628	0.194421739130435	Brain_Hypothalamus	Glutathione conjugation (BHy)	FALSE	Reactome	Glutathione conjugation (BHy)	no	gr1
Purine catabolism	gr1_vs_all	0.00294	-0.0371001625730353	-0.0614928983097122	-0.0126367205880339	0.0467358620689655	0.0394759223300971	Brain_Hypothalamus	Purine catabolism (BHy)	FALSE	Reactome	Purine catabolism (BHy)	yes	gr1
Glutathione conjugation	gr2_vs_all	0.00289	-0.040925968136267	-0.067828146253338	-0.0140057763628275	0.0360078378378378	0.039185	Brain_Hypothalamus	Glutathione conjugation (BHy)	FALSE	Reactome	Glutathione conjugation (BHy)	yes	gr2
Purine catabolism	gr2_vs_all	0.069	0.0226943290760589	-0.00177230147842472	0.0471216523781594	0.558052631578947	0.44866338028169	Brain_Hypothalamus	Purine catabolism (BHy)	FALSE	Reactome	Purine catabolism (BHy)	no	gr2
Glutathione conjugation	gr3_vs_all	0.433	0.0131381683679617	-0.0197386140077149	0.0460742746343397	0.831720833333333	0.897809595202399	Brain_Hypothalamus	Glutathione conjugation (BHy)	FALSE	Reactome	Glutathione conjugation (BHy)	no	gr3
Purine catabolism	gr3_vs_all	0.16	0.0214273313870072	-0.00849951669475837	0.0513617520137349	0.542352941176471	0.678773006134969	Brain_Hypothalamus	Purine catabolism (BHy)	FALSE	Reactome	Purine catabolism (BHy)	no	gr3
Role of ABL in ROBO-SLIT signaling	gr1_vs_all	0.00383	-0.0393136613422513	-0.065953836062487	-0.0126760349081356	0.036452	0.0226887042253521	Cells_EBV-transformed_lymphocytes	Role of ABL in ROBO-SLIT signaling (CEl)	FALSE	Reactome	Role of ABL in ROBO-SLIT signaling (CEl)	yes	gr1
Role of ABL in ROBO-SLIT signaling	gr2_vs_all	0.112	0.0216724091037084	-0.00505173575493375	0.0483425016905332	0.382985365853659	0.401938566552901	Cells_EBV-transformed_lymphocytes	Role of ABL in ROBO-SLIT signaling (CEl)	FALSE	Reactome	Role of ABL in ROBO-SLIT signaling (CEl)	no	gr2
Role of ABL in ROBO-SLIT signaling	gr3_vs_all	0.113	0.0262354433951335	-0.0062670135310661	0.0586162774353474	0.347425438596491	0.404147959183673	Cells_EBV-transformed_lymphocytes	Role of ABL in ROBO-SLIT signaling (CEl)	FALSE	Reactome	Role of ABL in ROBO-SLIT signaling (CEl)	no	gr3
